scientific name,sort v2021
Mitu salvini,860.0
Mitu tuberosum,861.0
Mitu mitu,862.0
Pauxi pauxi,863.0
Pauxi pauxi pauxi,864.0
Pauxi pauxi gilliardi,865.0
Pauxi koepckeae,866.0
Pauxi unicornis,867.0
Crax rubra,868.0
Crax rubra rubra,869.0
Crax rubra griscomi,870.0
Crax alberti,871.0
Crax daubentoni,872.0
Crax alector,873.0
Crax alector erythrognatha,874.0
Crax alector alector,875.0
Crax globulosa,876.0
Crax fasciolata,877.0
Crax fasciolata pinima,878.0
Crax fasciolata fasciolata/grayi,879.0
Crax fasciolata fasciolata,880.0
Crax fasciolata grayi,881.0
Crax blumenbachii,882.0
Numida meleagris,885.0
Numida meleagris sabyi,886.0
Numida meleagris galeatus,887.0
Numida meleagris meleagris/somaliensis,888.0
Numida meleagris meleagris,889.0
Numida meleagris somaliensis,890.0
Numida meleagris reichenowi,891.0
Numida meleagris [mitratus Group],892.0
Numida meleagris mitratus,893.0
Numida meleagris marungensis,894.0
Numida meleagris papillosus,895.0
Numida meleagris coronatus,896.0
Agelastes meleagrides,898.0
Agelastes niger,899.0
Acryllium vulturinum,900.0
Guttera plumifera,901.0
Guttera plumifera plumifera,902.0
Guttera plumifera schubotzi,903.0
Guttera pucherani,905.0
Guttera verreauxi,906.0
Guttera verreauxi verreauxi,908.0
Guttera verreauxi sclateri,907.0
Guttera edouardi,909.0
Guttera edouardi barbata,910.0
Guttera edouardi edouardi,911.0
Ptilopachus petrosus,912.0
Ptilopachus petrosus petrosus,913.0
Ptilopachus petrosus major,914.0
Ptilopachus nahani,915.0
Rhynchortyx cinctus,916.0
Rhynchortyx cinctus pudibundus,917.0
Rhynchortyx cinctus cinctus,918.0
Rhynchortyx cinctus australis,919.0
Oreortyx pictus,920.0
Dendrortyx leucophrys,921.0
Dendrortyx leucophrys leucophrys,922.0
Dendrortyx leucophrys hypospodius,923.0
Dendrortyx macroura,924.0
Dendrortyx macroura macroura,925.0
Dendrortyx macroura diversus,926.0
Dendrortyx macroura griseipectus,927.0
Dendrortyx macroura striatus,928.0
Dendrortyx macroura inesperatus,929.0
Dendrortyx macroura oaxacae,930.0
Dendrortyx barbatus,931.0
Philortyx fasciatus,932.0
Colinus virginianus,933.0
Colinus virginianus [virginianus Group],934.0
Colinus virginianus marilandicus,935.0
Colinus virginianus virginianus,936.0
Colinus virginianus floridanus,937.0
Colinus virginianus cubanensis,938.0
Colinus virginianus mexicanus,939.0
Colinus virginianus taylori,940.0
Colinus virginianus texanus,941.0
Colinus virginianus aridus,942.0
Colinus virginianus maculatus,943.0
Colinus virginianus graysoni/nigripectus,944.0
Colinus virginianus graysoni,945.0
Colinus virginianus nigripectus,946.0
Colinus virginianus [pectoralis Group],947.0
Colinus virginianus pectoralis,948.0
Colinus virginianus godmani,949.0
Colinus virginianus minor,950.0
Colinus virginianus thayeri,951.0
Colinus virginianus [coyoleos Group],952.0
Colinus virginianus ridgwayi,953.0
Colinus virginianus atriceps,954.0
Colinus virginianus harrisoni,955.0
Colinus virginianus coyoleos,956.0
Colinus virginianus salvini,957.0
Colinus virginianus insignis,958.0
Colinus nigrogularis,959.0
Colinus nigrogularis persiccus,960.0
Colinus nigrogularis caboti,961.0
Colinus nigrogularis nigrogularis,962.0
Colinus nigrogularis segoviensis,963.0
Colinus cristatus,964.0
Colinus cristatus [leucopogon Group],965.0
Colinus cristatus incanus,966.0
Colinus cristatus hypoleucus,967.0
Colinus cristatus leucopogon,968.0
Colinus cristatus leylandi,969.0
Colinus cristatus sclateri,970.0
Colinus cristatus dickeyi,971.0
Colinus cristatus [cristatus Group],972.0
Colinus cristatus mariae,973.0
